in s,C2 in V
-1.184664E-04,2.13992E+01
-1.184656E-04,2.12039E+01
-1.184648E-04,2.13992E+01
-1.184640E-04,2.08133E+01
-1.184632E-04,2.15945E+01
-1.184624E-04,2.17898E+01
-1.184616E-04,2.13992E+01
-1.184608E-04,2.17898E+01
-1.184600E-04,2.21805E+01
-1.184592E-04,2.23758E+01
-1.184584E-04,2.17898E+01
-1.184576E-04,2.13992E+01
-1.184568E-04,2.19852E+01
-1.184560E-04,2.19852E+01
-1.184552E-04,2.13992E+01
-1.184544E-04,2.19852E+01
-1.184536E-04,2.17898E+01
-1.184528E-04,2.13992E+01
-1.184520E-04,2.21805E+01
-1.184512E-04,2.15945E+01
-1.184504E-04,2.21805E+01
-1.184496E-04,2.12039E+01
-1.184488E-04,2.15945E+01
-1.184480E-04,2.17898E+01
-1.184472E-04,2.19852E+01
-1.184464E-04,2.13992E+01
-1.184456E-04,2.19852E+01
-1.184448E-04,2.12039E+01
-1.184440E-04,2.25711E+01
-1.184432E-04,2.13992E+01
-1.184424E-04,2.19852E+01
-1.184416E-04,2.19852E+01
-1.184408E-04,2.21805E+01
-1.184400E-04,2.15945E+01
-1.184392E-04,2.19852E+01
-1.184384E-04,2.17898E+01
-1.184376E-04,2.19852E+01
-1.184368E-04,2.15945E+01
-1.184360E-04,2.19852E+01
-1.184352E-04,2.21805E+01
-1.184344E-04,2.23758E+01
-1.184336E-04,2.21805E+01
-1.184328E-04,2.15945E+01
-1.184320E-04,2.21805E+01
-1.184312E-04,2.15945E+01
-1.184304E-04,2.13992E+01
-1.184296E-04,2.13992E+01
-1.184288E-04,2.15945E+01
-1.184280E-04,2.13992E+01
-1.184272E-04,2.12039E+01
-1.184264E-04,2.19852E+01
-1.184256E-04,2.21805E+01
-1.184248E-04,2.21805E+01
-1.184240E-04,2.17898E+01
-1.184232E-04,2.25711E+01
-1.184224E-04,2.19852E+01
-1.184216E-04,2.27664E+01
-1.184208E-04,2.19852E+01
-1.184200E-04,2.17898E+01
-1.184192E-04,2.21805E+01
-1.184184E-04,2.21805E+01
-1.184176E-04,2.23758E+01
-1.184168E-04,2.19852E+01
-1.184160E-04,2.17898E+01
-1.184152E-04,2.21805E+01
-1.184144E-04,2.19852E+01
-1.184136E-04,2.27664E+01
-1.184128E-04,2.21805E+01
-1.184120E-04,2.19852E+01
-1.184112E-04,2.27664E+01
-1.184104E-04,2.19852E+01
-1.184096E-04,2.17898E+01
-1.184088E-04,2.25711E+01
-1.184080E-04,2.19852E+01
-1.184072E-04,2.21805E+01
-1.184064E-04,2.21805E+01
-1.184056E-04,2.23758E+01
-1.184048E-04,2.23758E+01
-1.184040E-04,2.25711E+01
-1.184032E-04,2.27664E+01
-1.184024E-04,2.25711E+01
-1.184016E-04,2.15945E+01
-1.184008E-04,2.21805E+01
-1.184000E-04,2.17898E+01
-1.183992E-04,2.17898E+01
-1.183984E-04,2.19852E+01
-1.183976E-04,2.17898E+01
-1.183968E-04,2.21805E+01
-1.183960E-04,2.25711E+01
-1.183952E-04,2.19852E+01
-1.183944E-04,2.23758E+01
-1.183936E-04,2.27664E+01
-1.183928E-04,2.21805E+01
-1.183920E-04,2.21805E+01
-1.183912E-04,2.19852E+01
-1.183904E-04,2.21805E+01
-1.183896E-04,2.21805E+01
