in s,C1 in V
-3.0370000E-03,1.37756E+01
-3.0369536E-03,1.37756E+01
-3.0369072E-03,1.37756E+01
-3.0368608E-03,1.37756E+01
-3.0368144E-03,1.37756E+01
-3.0367680E-03,1.37756E+01
-3.0367216E-03,1.21643E+01
-3.0366752E-03,9.72285E+00
-3.0366288E-03,7.23262E+00
-3.0365824E-03,4.49824E+00
-3.0365360E-03,1.61738E+00
-3.0364896E-03,-1.80059E+00
-3.0364432E-03,-4.43730E+00
-3.0363968E-03,-7.02520E+00
-3.0363504E-03,-8.88066E+00
-3.0363040E-03,-1.06873E+01
-3.0362576E-03,-1.09314E+01
-3.0362112E-03,-9.95488E+00
-3.0361648E-03,-7.46465E+00
-3.0361184E-03,-5.51152E+00
-3.0360720E-03,-5.75566E+00
-3.0360256E-03,-7.46465E+00
-3.0359792E-03,-8.88066E+00
-3.0359328E-03,-8.58770E+00
-3.0358864E-03,-7.07402E+00
-3.0358400E-03,-6.43926E+00
-3.0357936E-03,-6.58574E+00
-3.0357472E-03,-6.87871E+00
-3.0357008E-03,-6.73223E+00
-3.0356544E-03,-6.48809E+00
-3.0356080E-03,-6.43926E+00
-3.0355616E-03,-7.07402E+00
-3.0355152E-03,-6.92754E+00
-3.0354688E-03,-6.29277E+00
-3.0354224E-03,-5.70684E+00
-3.0353760E-03,-5.95098E+00
-3.0353296E-03,-6.04863E+00
-3.0352832E-03,-6.09746E+00
-3.0352368E-03,-5.80449E+00
-3.0351904E-03,-5.51152E+00
-3.0351440E-03,-4.63262E+00
-3.0350976E-03,-2.33770E+00
-3.0350512E-03,1.81270E+00
-3.0350048E-03,6.69551E+00
-3.0349584E-03,1.07971E+01
-3.0349120E-03,1.33361E+01
-3.0348656E-03,1.37756E+01
-3.0348192E-03,1.37756E+01
-3.0347728E-03,1.37756E+01
-3.0347264E-03,1.37756E+01
-3.0346800E-03,1.37756E+01
-3.0346336E-03,1.37756E+01
-3.0345872E-03,1.37756E+01
-3.0345408E-03,1.37756E+01
-3.0344944E-03,1.32873E+01
-3.0344480E-03,1.09436E+01
-3.0344016E-03,8.50215E+00
-3.0343552E-03,5.76777E+00
-3.0343088E-03,3.13105E+00
-3.0342624E-03,-4.27734E-02
-3.0342160E-03,-3.21660E+00
-3.0341696E-03,-5.95098E+00
-3.0341232E-03,-8.14824E+00
-3.0340768E-03,-9.75957E+00
-3.0340304E-03,-1.09803E+01
-3.0339840E-03,-1.06385E+01
-3.0339376E-03,-8.78301E+00
-3.0338912E-03,-6.14629E+00
-3.0338448E-03,-5.41387E+00
-3.0337984E-03,-6.53691E+00
-3.0337520E-03,-8.34355E+00
-3.0337056E-03,-8.88066E+00
-3.0336592E-03,-7.90410E+00
-3.0336128E-03,-6.73223E+00
-3.0335664E-03,-6.43926E+00
-3.0335200E-03,-6.78105E+00
-3.0334736E-03,-6.73223E+00
-3.0334272E-03,-6.63457E+00
-3.0333808E-03,-6.48809E+00
-3.0333344E-03,-6.78105E+00
-3.0332880E-03,-6.92754E+00
